flow_duration,tot_pkts,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_var,flow_iat_mean,flow_iat_std,flow_iat_min,flow_iat_max,total_requests,ratio_404,ratio_200,ratio_302,ratio_500,unique_url_ratio,unique_agent_ratio,size_mean,size_std,reqtime_mean,reqtime_std,label
0.47981905937194824,151.5,192.5277777777778,165.33447683766977,66.0,471.5,29834.58010662177,0.010374608958089651,0.0198806895499836,5.7578086853003905e-05,0.06796705722808835,32,0.03125,0.03125,0.8125,0.125,0.15625,1.0,2697.375,1249.3045502898804,0.0026562499999999,0.0013371933059584,malicious
0.8705980777740479,297.0,265.8888888888889,215.32538476537005,66.0,566.0,46365.02132435465,0.0029412097222096,0.0054677642287885,1.1920928955078125e-06,0.0495481491088867,69,0.0,0.0,1.0,0.0,0.0144927536231884,1.0,3344.0,0.0,0.0021304347826086,0.0008149516475077,malicious
0.5934231281280518,303.0,252.91749174917493,220.81751001753085,66.0,565.0,48760.37273034234,0.0019649772454571,0.0014512497838671,1.9073486328125e-06,0.0095670223236083,32,0.0,0.0,1.0,0.0,0.03125,1.0,3344.0,0.0,0.00253125,0.0014786897705401,malicious
0.4570937156677246,223.0,255.89873749279687,216.8912372586959,66.0,565.6666666666666,47058.21814248809,0.0023998357984301665,0.0032921668169315667,1.5894571940104167e-06,0.0200880368550618,173,0.0,0.0,1.0,0.0,0.0057803468208092,1.0,3344.0,0.0,0.0020462427745664,0.0004663848035594,malicious
0.2074339389801025,63.0,257.25396825396825,211.31530404196525,66.0,566.0,44654.15772234821,0.0033457086932274,0.0071011176320867,9.5367431640625e-07,0.046281099319458,16,0.0,0.0625,0.8125,0.125,0.1875,1.0,2870.5,1020.9996327129604,0.0024375,0.0012732217992164,malicious
0.5216730833053589,113.0,203.5132743362832,49.49643968977005,66.0,243.0,2449.926384211763,0.00465779538665495,0.016998134229740197,0.00012695789337155,0.18014252185821525,150,0.98,0.0,0.02,0.0,0.9866666666666668,0.9866666666666668,284.64666666666665,40.775178179323206,0.00128,0.0013717142559585,malicious
0.07628677686055495,25.266666666666666,131.58545914912222,58.2830892078573,66.0,230.4,3454.153602749372,0.0016480517901579263,0.000992896454678364,0.00025113423665360006,0.0051774660746255925,242,0.6446280991735537,0.0041322314049586,0.0867768595041322,0.0,0.8966942148760331,0.5371900826446281,260.73553719008265,85.91094452979019,0.0016198347107438,0.0019782127268102,malicious
0.277263601620992,85.0,208.86288658272483,56.288372381356425,66.0,336.1666666666667,3228.2627753108177,0.00316606425682335,0.0015389830369613,0.00023444493611648334,0.010620792706807417,272,0.8014705882352942,0.0,0.0183823529411764,0.0036764705882352,0.9779411764705882,0.0220588235294117,290.04411764705884,45.73185394665215,0.0012610294117647,0.0011122098295813,malicious
0.07442329611097061,28.071428571428573,156.97859639629377,74.53503476714866,66.0,279.57142857142856,5807.835400007108,0.0019170260155174715,0.0010887372339250787,0.00026081289563855,0.005137579781668493,268,0.5634328358208955,0.0,0.0559701492537313,0.0,0.9552238805970148,0.0708955223880597,275.9179104477612,74.94705081245371,0.0013470149253731,0.0014230611475365,malicious
0.18632929665701728,54.142857142857146,190.10690878646503,73.76455639237597,66.0,318.7142857142857,5571.241407614509,0.002576119318178072,0.0013559287631258715,0.0002467291695730714,0.006768158503941086,241,0.6970954356846473,0.0041493775933609,0.0373443983402489,0.0,0.983402489626556,0.0290456431535269,624.9502074688796,5226.836783467242,0.0014979253112033,0.0011951648138147,malicious
