flow_duration,tot_pkts,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_var,flow_iat_mean,flow_iat_std,flow_iat_min,flow_iat_max,label
0.7169499397277832,203,147.29064039408868,82.49346450353987,66,258,6805.171685796793,0.0035492571273652,0.0104332724455065,0.0002789497375488,0.1510238647460937,malicious
0.7168488502502441,107,1883.4766355140189,502.6707799400146,66,2026,252677.91300550257,0.0067627250023607,0.014203837717361,7.987022399902344e-05,0.1514489650726318,malicious
0.5792338848114014,203,147.6206896551724,82.79001251916435,66,248,6854.186172923391,0.0028674944792643,0.0009201600571172,0.0002679824829101,0.0073838233947753,malicious
0.5788469314575195,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0054608201080898,0.0016408504204348,0.0001730918884277,0.0117740631103515,malicious
0.4847841262817383,178,150.81460674157304,85.44861396968199,66,341,7301.465629339731,0.0027388933688233,0.0012095300612791,8.106231689453125e-05,0.0099341869354248,malicious
0.4847757816314697,96,1831.96875,571.3884488157809,66,2026,326484.7594401042,0.0051029029645417,0.0017957718939498,2.1457672119140625e-06,0.0112068653106689,malicious
0.0014557838439941,5,97.4,58.88157606586291,66,215,3467.04,0.0003639459609985,4.130545976323757e-05,0.0003168582916259,0.0004189014434814,malicious
0.0014138221740722,5,133.0,130.0369178348979,66,393,16909.6,0.000353455543518,0.0002370473950058,0.000108003616333,0.0006358623504638,malicious
0.0012319087982177,5,97.4,58.88157606586291,66,215,3467.04,0.0003079771995544,3.729722247705223e-05,0.000248908996582,0.0003409385681152,malicious
0.0011470317840576,5,133.0,130.0369178348979,66,393,16909.6,0.0002867579460144,0.0002382591653387,2.1457672119140625e-06,0.0005819797515869,malicious
0.7551238536834717,203,151.9014778325123,88.30544922227637,66,338,7797.8523623480305,0.0037382368994231,0.0016872921666107,0.000216007232666,0.0130338668823242,malicious
0.7551009654998779,108,1880.8425925925928,513.0328875826838,66,2026,263202.7437414266,0.0070570183691577,0.0028470631863806,1.9073486328125e-06,0.0138380527496337,malicious
0.059715986251831,24,146.20833333333334,86.83508275588976,66,250,7540.331597222222,0.0025963472283404,0.0012603587564666,0.000234842300415,0.0053939819335937,malicious
0.0596709251403808,20,1062.75,965.7324098838144,66,2026,932639.0875,0.0031405750073884,0.0021895076011794,9.5367431640625e-07,0.0087318420410156,malicious
0.1167700290679931,46,147.30434782608697,84.69147833658081,66,249,7172.646502835537,0.0025948895348442,0.0012402900394343,0.0001318454742431,0.0060479640960693,malicious
0.1167459487915039,30,1449.1666666666667,882.9135889516909,66,2026,779536.4055555555,0.0040257223721208,0.0022826863780619,9.5367431640625e-07,0.0092709064483642,malicious
0.6589200496673584,203,151.45320197044336,87.62476834031116,66,371,7678.100026693198,0.0032619804438978,0.0013224030990913,0.0002009868621826,0.0083699226379394,malicious
0.6589870452880859,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0062168589178121,0.0022065433050829,0.000126838684082,0.0127308368682861,malicious
0.6922910213470459,203,151.98029556650246,89.13447860822394,66,428,7944.955276759931,0.0034271832739952,0.0016181970592177,0.0002360343933105,0.0093748569488525,malicious
0.6922461986541748,107,1897.803738317757,484.3481106832911,66,2026,234593.0923224736,0.0065306245156054,0.0025956345164017,1.9073486328125e-06,0.015110969543457,malicious
0.0715420246124267,22,138.5909090909091,78.9065379771359,66,239,6226.24173553719,0.0034067630767822,0.0021112552701164,0.000262975692749,0.0091540813446044,malicious
0.0714709758758544,17,1123.3529411764705,960.2534555844816,66,2026,922086.6989619376,0.0044669359922409,0.0038212664233117,2.1457672119140625e-06,0.0130689144134521,malicious
0.0730681419372558,24,140.25,80.41364415736092,66,253,6466.354166666667,0.0031768757364024,0.0016558734752958,0.0002238750457763,0.0064339637756347,malicious
0.0730121135711669,19,1115.2105263157894,962.6438691627164,66,2026,926683.2188365652,0.0040562285317314,0.0029161363131429,1.9073486328125e-06,0.009415864944458,malicious
0.0009779930114746,5,98.2,60.47941798661756,66,219,3657.76,0.0002444982528686,4.968739859176901e-05,0.0001800060272216,0.0003039836883544,malicious
0.000917911529541,5,133.0,130.0369178348979,66,393,16909.6,0.0002294778823852,0.0001837114168057,9.5367431640625e-07,0.0004279613494873,malicious
0.0012629032135009,5,98.2,60.47941798661756,66,219,3657.76,0.0003157258033752,0.0001320742497513,0.0001330375671386,0.0005059242248535,malicious
0.0012121200561523,5,133.0,130.0369178348979,66,393,16909.6,0.000303030014038,0.000262854131701,2.1457672119140625e-06,0.0006179809570312,malicious
0.0630099773406982,19,147.42105263157896,76.44421136700637,66,228,5843.717451523546,0.0035005542967054,0.0020838451701216,1.9073486328125e-06,0.0071291923522949,malicious
0.0628540515899658,17,861.1176470588235,877.2623111873426,66,2026,769589.1626297579,0.0039283782243728,0.0025333336922765,1.9073486328125e-06,0.0090091228485107,malicious
0.006289005279541,7,112.0,70.25463889106744,66,223,4935.714285714285,0.0010481675465901,0.0011087820751698,0.0002059936523437,0.0031499862670898,malicious
0.0062770843505859,7,393.8571428571428,675.7176985718704,66,2026,456594.4081632652,0.0010461807250976,0.0010922357062861,1.1920928955078125e-06,0.0028109550476074,malicious
