Model,Algoritam,Preciznost,Odziv,F1,FPR
A_network_only,RF,1.0,1.0,1.0,0.0
A_network_only,KNN,1.0,1.0,1.0,0.0
A_network_only,SVM,0.9913669064748202,0.9676966292134831,0.9793887704335466,0.0011320754716981133
B_http_only,RF,0.9736842105263158,1.0,0.9866666666666666,0.012345679012345678
B_http_only,KNN,0.9722222222222222,0.9459459459459459,0.9589041095890412,0.012345679012345678
B_http_only,SVM,0.9705882352941176,0.8918918918918919,0.9295774647887325,0.012345679012345678
C_hybrid,RF,1.0,1.0,1.0,0.0
C_hybrid,KNN,1.0,0.8378378378378378,0.911764705882353,0.0
C_hybrid,SVM,1.0,0.9459459459459459,0.9722222222222222,0.0
